City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Pisco,PE,64.45,few clouds,-13.7,-76.22,Hotel San Isidro Oficial
436,Oktyabrskiy,RU,67.71,few clouds,54.48,53.47,Уязы-Тау гостиница
438,Lata,PT,63.91,scattered clouds,40.16,-8.33,Casa Maquia
440,Castlecomer,IE,68.31,clear sky,52.81,-7.21,Wandesforde House B&B
442,Isabela,PH,73.45,overcast clouds,6.71,121.97,Isawad Resort
447,Nantucket,US,75.54,overcast clouds,41.28,-70.1,Jared Coffin House
450,Paita,PE,73.96,clear sky,-5.09,-81.11,Hotel Náutico de Paita
453,Altay,CN,63.63,clear sky,47.87,88.12,Jinqiao Hotel
462,Comodoro Rivadavia,AR,60.66,broken clouds,-45.87,-67.5,Hotel Victoria
463,Auray,FR,76.89,clear sky,47.67,-2.99,Best Western Auray hotel du Loch
464,Bhatkal,IN,78.12,broken clouds,13.97,74.57,Nilawar Palace
465,Kilifi,KE,75.15,broken clouds,-3.63,39.85,Baobab Sea Lodge-Kilifi
472,Babanka,UA,69.26,broken clouds,48.71,30.45,Отель Колумб
475,Coruripe,BR,74.59,clear sky,-10.13,-36.18,Pousada e Hotel Litoral Sul
478,Haines Junction,CA,71.55,scattered clouds,60.75,-137.51,Parkside Inn
479,Maumere,ID,75.43,few clouds,-8.62,122.21,Sylvia Hotel
480,Piacabucu,BR,74.64,clear sky,-10.41,-36.43,Piaçabuçu News
481,Kilindoni,TZ,76.91,clear sky,-7.91,39.67,Bustani B&B
484,Sisophon,KH,76.73,overcast clouds,13.59,102.97,Pyramid Hotel
490,Keratea,GR,79.48,clear sky,37.81,23.98,Keratea Luxury Villa -Athens Airport
491,Miraflores,MX,77.04,broken clouds,19.22,-98.81,Hotel Mansión
492,Bolobo,CD,75.94,scattered clouds,-2.17,16.23,Hotel de Stephen
495,Smoky Lake,CA,68.58,overcast clouds,54.12,-112.47,Country Garden Hotel
500,Wuwei,CN,71.87,few clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
504,Buchanan,LR,76.96,light rain,5.88,-10.05,Kamaneahn Hotel Inc
505,Harper,LR,76.5,overcast clouds,4.38,-7.72,Screensaver
506,Buenaventura,CO,75.9,scattered clouds,3.88,-77.03,La Casa Blanca Hotel
507,Dumai,ID,72.84,overcast clouds,1.68,101.45,Grand Zuri Dumai
508,Halifax,CA,75.52,overcast clouds,44.65,-63.57,Hotel Halifax
512,Sao Gabriel Da Cachoeira,BR,79.29,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
513,Huanren,CN,73.02,broken clouds,41.26,125.37,Dynasty Wunvshan Ice Chateau
518,Nehe,CN,71.02,overcast clouds,48.48,124.83,Vladimir Homestay
521,Sinnamary,GF,77.05,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
522,Bantacan,PH,76.62,overcast clouds,7.6,126.13,MARLENE PADURAN
524,Port-Cartier,CA,66.42,overcast clouds,50.03,-66.87,Le Q'Artier
526,Peniche,PT,65.88,overcast clouds,39.36,-9.38,Hotel Star inn Peniche
527,Dauphin,CA,68.14,overcast clouds,51.15,-100.05,Canway Inn & Suites
528,Mala,PE,66.29,broken clouds,-12.66,-76.63,Hotel Granda
533,Inuvik,CA,76.21,few clouds,68.35,-133.72,Nova Inn Inuvik
534,Dali,CN,61.93,clear sky,25.7,100.18,Dali Travelling With Hostel
535,Przhevalskoye,RU,65.3,overcast clouds,55.51,31.85,Next Camp
536,Dicabisagan,PH,78.73,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
541,Fort Nelson,CA,72.99,broken clouds,58.81,-122.7,The Fort Nelson Hotel
547,La Ronge,CA,64.62,smoke,55.1,-105.28,Northland Motor Hotel
548,Los Banos,PH,77.81,light rain,14.17,121.18,Sol Y Viento Mountain Hot Springs and Resort
549,Cururupu,BR,75.02,scattered clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
550,Sungaipenuh,ID,61.34,light rain,-2.08,101.38,Hotel Jaya Wisata 2
551,Mizdah,LY,73.44,clear sky,31.45,12.98,فندق بنيه تحتيه
552,Kerrobert,CA,70.0,clear sky,51.92,-109.13,"Motel 6 Kerrobert, SK"
554,Lyubar,UA,64.99,broken clouds,49.92,27.76,Hotel Agro-technological Kompaniyiyi
557,Tarifa,ES,76.95,clear sky,36.01,-5.61,HOSPEDAJE FACUNDO
558,Pasighat,IN,77.43,overcast clouds,28.07,95.33,Siang Guest House
561,Megion,RU,60.82,light rain,61.03,76.11,Komfort Hotel
562,Tura,IN,73.8,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
563,Baturaja,ID,71.87,scattered clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
565,Ilheus,BR,76.82,few clouds,-14.79,-39.05,Barravento Hotel
573,Misratah,LY,78.22,clear sky,32.38,15.09,فندق الماسة
574,Nyirbogdany,HU,69.82,overcast clouds,48.06,21.88,Liget Panzió
575,Noumea,NC,72.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
577,Cap Malheureux,MU,72.09,few clouds,-19.98,57.61,Pereybere Hotel & Spa
579,College,US,78.58,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
580,Shingu,JP,76.91,scattered clouds,33.73,135.98,Shingu UI Hotel
581,Marawi,PH,66.65,overcast clouds,8.0,124.29,Derogongan Residence
582,Helong,CN,72.52,broken clouds,42.54,129.0,Helong Hotel
585,Yarmouth,US,75.54,overcast clouds,41.71,-70.23,The Inn At Cape Cod
586,Cuiluan,CN,74.03,clear sky,47.72,128.65,Shuncheng Hotel
589,Bandarbeyla,SO,77.54,overcast clouds,9.49,50.81,JABIR HOTEL
590,Koumac,NC,71.15,overcast clouds,-20.57,164.28,Le Monitel
592,Namibe,AO,68.02,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
593,Barra Dos Coqueiros,BR,77.02,few clouds,-10.91,-37.04,Jangadeiro
606,Humberto De Campos,BR,76.35,few clouds,-2.6,-43.46,Pousada do Cabeça
613,Paragominas,BR,77.65,broken clouds,-2.97,-47.48,INOVA
615,Vanderhoof,CA,75.88,scattered clouds,54.02,-124.02,Vanderhoof Inn
616,Osakarovka,KZ,63.07,overcast clouds,50.56,72.57,Motel' Osakarovka
617,Pemangkat,ID,79.5,broken clouds,1.17,108.97,Ramah Kost KITA
618,Dunhua,CN,71.22,broken clouds,43.37,128.24,Jinhao International Business Hotel
619,Ambanja,MG,70.61,broken clouds,-13.68,48.45,Hotel Marrakech
622,Alfonsine,IT,78.76,clear sky,44.51,12.06,HOTEL LA CANTINA
626,Sfantu Gheorghe,RO,71.26,overcast clouds,45.87,25.78,Hotel Park
627,El Dovio,CO,79.11,scattered clouds,4.51,-76.24,Hotel Mi Dovio
628,Sao Jose Da Coroa Grande,BR,76.21,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
629,Naro,IT,72.55,few clouds,37.29,13.79,San Caloiru Home
630,Afsin,TR,71.44,clear sky,38.25,36.91,Afsin Ogretmenevi ASO
632,San Quintin,MX,76.78,clear sky,30.48,-115.95,Don Eddie's Sport Fishing Center
633,Palmer,US,76.62,overcast clouds,42.16,-72.33,Wedgewood Motel
637,Morales,CO,70.56,scattered clouds,2.76,-76.62,Finca Santa Catalina
639,Bandundu,CD,77.38,broken clouds,-3.32,17.37,Coja Color
641,Candolim,IN,79.41,overcast clouds,15.52,73.76,Resort Terra Paraiso
643,Vangaindrano,MG,67.44,light rain,-23.35,47.6,Hotel Fanilo
644,Nouakchott,MR,78.73,clear sky,18.09,-15.98,HOTEL IMAN فندق إيمان
647,Asfi,MA,68.79,clear sky,32.3,-9.24,Hôtel Abda
648,Biella,IT,74.25,broken clouds,45.59,8.09,Augustus Hotel
652,Karabuk,TR,75.29,clear sky,41.2,32.63,Elit Uzungol Hotel
656,North Bend,US,78.24,fog,43.41,-124.22,Red Lion Hotel Coos Bay
657,Teguise,ES,70.02,few clouds,29.06,-13.56,B&B La Casona de Nazaret
658,Twante,MM,78.93,overcast clouds,16.72,95.93,Dream Land
659,Zhangye,CN,73.81,scattered clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
660,Akdagmadeni,TR,70.3,clear sky,39.66,35.88,Hanedan Otel
661,Xuddur,SO,71.71,overcast clouds,4.12,43.89,Banjanay Hotel
663,Manosque,FR,73.76,overcast clouds,43.83,5.79,Hôtel Restaurant Campanile Manosque
668,Khandbari,NP,72.54,overcast clouds,27.37,87.2,Himali Hotel and Lodge
674,Kaberamaido,UG,66.94,light rain,1.74,33.16,"Little Orchard, Kaberamaido"
675,Kalemie,CD,68.59,clear sky,-5.95,29.19,Mahobilali
677,Energetik,RU,69.57,scattered clouds,51.74,58.79,Zhemchuzhina
679,Otradnoye,RU,60.85,clear sky,59.78,30.82,Baza otdikha Petrushinsky Khutor
680,Raubling,DE,63.05,clear sky,47.79,12.11,Burgdacherl Hotel garni - Gästehaus
681,Orocue,CO,72.0,overcast clouds,4.79,-71.34,Hotel Brisas de San Miguel
682,Bonthe,SL,77.52,light rain,7.53,-12.51,Bonthe Holiday Village
683,Kamaishi,JP,78.89,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
686,Chenghai,CN,78.71,scattered clouds,23.46,116.77,Guangdong Hotel
687,Hastings,GB,68.92,clear sky,50.86,0.57,Zanzibar Hotel
688,Bartica,GY,79.12,light rain,6.4,-58.62,Sloth Island Nature Resort
689,Vila,PT,69.75,clear sky,42.03,-8.16,Hotel Castrum Villae by Walk Hotels
690,Axim,GH,75.94,few clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
692,Korla,CN,76.12,overcast clouds,41.76,86.15,Gulisitan Hotel
693,Zhezkazgan,KZ,74.97,overcast clouds,47.8,67.71,Hotel Zumrat
697,Manokwari,ID,77.4,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
699,Sapouy,BF,79.88,light rain,11.55,-1.77,Auberge St Louis
700,Latisana,IT,77.02,broken clouds,45.78,13.0,Hotel Ristorante Pizzeria Cigno
702,Fuling,CN,73.94,overcast clouds,29.7,107.39,Yingbin Hostel
704,Bogorodskoye,RU,69.78,overcast clouds,56.55,37.88,Sosnoviy Bor
706,Wajir,KE,76.66,overcast clouds,1.75,40.06,Al- Amin lodge
707,Itoman,JP,78.82,light rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
708,Matara,LK,79.39,overcast clouds,5.95,80.54,Amaloh Boutique Resort
712,Pau,FR,70.81,clear sky,43.42,-0.58,O'jardin
713,Sorrento,IT,75.33,clear sky,40.63,14.37,Hilton Sorrento Palace
