Index,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Estancia,BR,-11.27,-37.44,76.48,94,26,4.05,scattered clouds
84,Izumo,JP,35.37,132.77,75.09,83,75,11.5,broken clouds
85,Hualmay,PE,-11.10,-77.61,65.37,76,21,10.25,few clouds
86,Muzhi,RU,65.37,64.67,58.71,58,23,8.68,few clouds
87,Rio Gallegos,AR,-51.62,-69.22,46.45,53,75,10.36,broken clouds
88,Mahibadhoo,MV,3.78,72.97,82.94,73,97,12.3,overcast clouds
89,Yumen,CN,40.28,97.20,74.1,30,69,9.71,broken clouds
90,Norman Wells,CA,65.28,-126.83,77.04,50,40,9.22,scattered clouds
91,Le Port,RE,-20.94,55.29,71.6,74,16,5.88,few clouds
92,Cherskiy,RU,68.75,161.30,57.33,47,100,9.69,overcast clouds
93,Codrington,AU,-38.27,141.97,48.15,89,100,13.2,light rain
94,New Norfolk,AU,-42.78,147.06,46.92,89,99,1.01,overcast clouds
95,Bengkulu,ID,-3.80,102.27,74.88,90,70,5.37,broken clouds
96,Altoona,US,40.52,-78.39,83.57,65,89,2.68,overcast clouds
97,Russell,US,32.35,-85.20,81.63,85,20,0.0,few clouds
98,Mombaca,BR,-5.74,-39.63,81.18,43,59,4.43,broken clouds
99,Vila Velha,BR,-20.33,-40.29,69.75,83,90,14.97,overcast clouds
100,Dikson,RU,73.51,80.55,38.86,80,0,7.16,clear sky
101,Clyde River,CA,70.47,-68.59,39.43,81,90,6.91,light rain
102,Prosec,CZ,49.81,16.12,57.42,81,5,8.99,clear sky
103,Naze,JP,28.37,129.48,78.01,89,100,27.85,moderate rain
104,Poum,NC,-20.23,164.02,70.97,84,99,6.46,overcast clouds
105,Mto Wa Mbu,TZ,-3.35,35.85,64.45,63,40,3.4,scattered clouds
106,Estelle,US,29.85,-90.11,87.8,74,75,8.05,broken clouds
107,Hithadhoo,MV,-0.60,73.08,81.34,73,95,4.81,overcast clouds
108,Tasiilaq,GL,65.61,-37.64,48.36,90,100,8.57,light rain
109,Calama,CL,-22.47,-68.93,68.49,6,80,18.41,broken clouds
110,Longyearbyen,SJ,78.22,15.64,42.64,81,75,10.36,broken clouds
111,Rheine,DE,52.28,7.45,59.02,82,1,5.28,clear sky
112,Zhigansk,RU,66.77,123.37,62.85,69,4,6.8,clear sky
113,Biloxi,US,30.40,-88.89,86.0,83,90,10.36,overcast clouds
114,Coihaique,CL,-45.58,-72.07,49.95,66,75,3.44,light rain
115,Doha,QA,25.29,51.53,93.18,70,0,5.75,clear sky
116,Whitehorse,CA,60.72,-135.05,74.01,40,75,3.44,broken clouds
