Index,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,Tsiroanomandidy,MG,-18.77,46.03,64.63,66,83,3.98,broken clouds
358,High Level,CA,58.52,-117.14,64.51,82,90,3.44,smoke
359,Adrar,MR,20.50,-10.07,99.91,11,56,8.57,broken clouds
360,Vanimo,PG,-2.67,141.30,77.56,89,97,1.95,overcast clouds
361,Emmen,NL,52.78,6.91,59.76,87,0,5.03,clear sky
362,Nishihara,JP,26.18,127.76,78.08,92,75,13.8,light intensity shower rain
363,Jinchang,CN,38.50,102.17,75.92,33,83,3.74,broken clouds
364,Zhuanghe,CN,39.70,122.99,73.81,93,10,4.7,clear sky
365,Asau,RO,46.43,26.40,67.75,98,100,3.02,light rain
366,Lixourion,GR,38.20,20.43,74.68,79,3,3.49,clear sky
367,Holme,DK,56.11,10.17,58.57,82,44,11.61,scattered clouds
368,Hobyo,SO,5.35,48.53,76.12,83,93,24.92,overcast clouds
369,Berdigestyakh,RU,62.10,126.70,68.13,76,97,5.48,overcast clouds
370,Cockburn Town,TC,21.46,-71.14,85.96,70,40,12.66,scattered clouds
371,Riyadh,SA,24.69,46.72,96.94,42,97,5.17,overcast clouds
372,Port Hedland,AU,-20.32,118.57,57.25,51,36,6.91,scattered clouds
373,Plonsk,PL,52.62,20.38,67.03,78,11,5.17,few clouds
374,Beloha,MG,-25.17,45.05,68.23,69,79,12.57,broken clouds
375,Nyurba,RU,63.28,118.33,62.13,71,100,3.2,overcast clouds
376,San Luis,AR,-33.30,-66.34,51.4,27,0,7.11,clear sky
377,Anadyr,RU,64.75,177.48,50.5,93,90,4.0,fog
378,Agadir,MA,30.42,-9.60,72.05,49,0,2.95,clear sky
379,Lagoa,PT,39.05,-27.98,69.31,84,89,23.71,overcast clouds
380,Adre,TD,13.47,22.20,72.68,78,99,4.88,overcast clouds
381,Ilo,PE,-17.64,-71.34,62.02,79,64,6.15,broken clouds
382,Kihei,US,20.79,-156.47,84.22,78,40,25.32,scattered clouds
383,Sitka,US,57.05,-135.33,64.29,72,20,8.05,few clouds
384,Lincoln,US,40.80,-96.67,86.67,52,40,1.99,scattered clouds
385,Fukue,JP,32.69,128.84,79.75,79,100,7.27,overcast clouds
386,Katsuura,JP,35.13,140.30,83.1,80,1,5.03,clear sky
387,Namanga,KE,-2.54,36.79,61.92,61,65,5.55,broken clouds
388,Banes,CU,20.96,-75.72,84.81,75,6,15.12,clear sky
389,Ust-Ilimsk,RU,58.00,102.66,62.8,59,75,3.6,broken clouds
390,Pangnirtung,CA,66.15,-65.71,42.8,100,90,9.22,light intensity drizzle
391,Honningsvag,NO,70.98,25.97,44.94,68,57,28.39,light rain
392,Ivanivka,UA,46.72,34.55,79.93,54,0,6.46,clear sky
393,Mangochi,MW,-14.48,35.26,67.75,54,95,5.59,overcast clouds
394,Dwarka,IN,22.24,68.97,82.99,80,100,26.89,overcast clouds
395,Polazna,RU,58.29,56.41,58.39,75,86,4.54,overcast clouds
396,Hede,CN,33.77,120.25,78.08,94,100,9.91,overcast clouds
397,Umm Lajj,SA,25.02,37.27,86.92,65,95,8.01,overcast clouds
398,Kloulklubed,PW,7.04,134.26,82.63,75,100,7.9,overcast clouds
399,Ibirama,BR,-27.06,-49.52,54.32,71,0,4.05,clear sky
400,Sapele,NG,5.89,5.68,75.58,89,96,4.54,light rain
401,Port Lincoln,AU,-34.73,135.87,53.82,76,74,23.29,broken clouds
402,Chama,CH,47.18,8.46,68.16,82,2,0.0,clear sky
403,Viedma,AR,-40.81,-63.00,52.27,28,76,9.4,broken clouds
404,Ust-Nera,RU,64.57,143.20,73.38,31,12,7.87,few clouds
405,Valparaiso,CL,-33.04,-71.63,66.43,55,0,3.44,clear sky
406,Karaton,ID,-6.34,106.10,78.96,92,17,0.58,few clouds
407,Henties Bay,NA,-22.12,14.28,59.86,68,0,6.53,clear sky
408,Suntar,RU,62.14,117.63,61.77,82,100,3.09,overcast clouds
409,Pontal Do Parana,BR,-25.65,-48.51,62.26,57,0,2.64,clear sky
410,Sipovo,BA,44.28,17.08,66.45,99,99,1.07,light rain
411,Chimore,BO,-16.98,-65.13,63.39,62,73,1.61,broken clouds
412,Asnaes,DK,55.81,11.50,62.15,82,5,13.13,clear sky
413,Ipixuna,BR,-1.76,-48.80,76.95,90,94,3.47,overcast clouds
414,Toro,CO,4.61,-76.08,84.88,74,18,4.09,few clouds
415,Ati,TD,13.22,18.34,85.44,50,96,10.98,overcast clouds
416,Videira,BR,-27.01,-51.15,38.93,88,2,1.41,clear sky
417,Flinders,AU,-34.58,150.86,51.19,68,4,4.0,clear sky
418,Rorvik,NO,64.86,11.24,53.73,81,100,23.31,light rain
419,Santo Domingo,DO,18.50,-69.99,87.44,72,75,4.0,broken clouds
420,Nara,JP,34.69,135.80,83.25,94,38,1.03,scattered clouds
421,San Francisco,US,37.77,-122.42,99.81,68,20,4.0,few clouds
422,Bathsheba,BB,13.22,-59.52,84.81,70,20,23.02,few clouds
423,Totness,SR,5.88,-56.32,78.21,84,27,8.68,heavy intensity rain
424,Sabha,LY,27.04,14.43,85.89,22,9,17.63,clear sky
425,Tigil,RU,57.80,158.67,56.48,86,96,2.86,overcast clouds
426,Prince Rupert,CA,54.32,-130.32,62.69,78,90,4.61,overcast clouds
427,Garden City,US,42.33,-83.33,88.05,55,75,4.61,broken clouds
428,Floriano,BR,-6.77,-43.02,86.13,30,9,2.15,clear sky
429,Hudson Bay,CA,52.85,-102.38,79.03,36,4,7.9,clear sky
430,Limbang,MY,4.75,115.00,77.11,91,100,2.24,overcast clouds
431,Grand Gaube,MU,-20.01,57.66,72.0,67,21,5.99,few clouds
432,Pisco,PE,-13.70,-76.22,64.45,77,20,8.05,few clouds
433,Yaroslavskiy,RU,44.17,132.21,77.05,77,90,11.1,overcast clouds
434,Irbit,RU,57.67,63.07,58.96,83,11,2.48,few clouds
435,Kailua,US,21.40,-157.74,87.78,65,40,17.27,scattered clouds
436,Oktyabrskiy,RU,54.48,53.47,67.71,67,24,2.01,few clouds
437,Ornskoldsvik,SE,63.29,18.72,57.02,67,75,17.27,broken clouds
438,Lata,PT,40.16,-8.33,63.91,95,26,3.65,scattered clouds
439,Provideniya,RU,64.38,-173.30,48.31,87,90,8.95,fog
440,Castlecomer,IE,52.81,-7.21,68.31,75,0,3.96,clear sky
441,Severo-Yeniseyskiy,RU,60.37,93.04,51.51,94,87,7.38,overcast clouds
442,Isabela,PH,6.71,121.97,73.45,85,95,3.58,overcast clouds
443,Sainte-Rose,GP,16.33,-61.70,84.24,70,40,17.27,scattered clouds
444,Emerald,AU,-23.53,148.17,52.99,56,2,9.22,clear sky
445,Gympie,AU,-26.19,152.66,47.32,60,0,2.82,clear sky
446,Emba,KZ,48.83,58.14,75.81,49,0,10.65,clear sky
447,Nantucket,US,41.28,-70.10,75.54,52,98,12.8,overcast clouds
448,Victor Harbor,AU,-35.57,138.62,52.47,89,100,4.0,light rain
449,Kysyl-Syr,RU,63.90,122.76,64.92,71,100,3.94,overcast clouds
450,Paita,PE,-5.09,-81.11,73.96,78,6,15.77,clear sky
451,Qadirpur Ran,PK,30.29,71.67,93.09,52,100,16.02,overcast clouds
452,Tornio,FI,65.85,24.15,59.02,68,100,16.11,light rain
453,Altay,CN,47.87,88.12,63.63,38,0,6.71,clear sky
454,Alta Floresta,BR,-9.88,-56.09,80.67,36,5,3.44,clear sky
455,Gazojak,TM,41.19,61.40,87.26,22,11,5.48,few clouds
456,Yaan,NG,7.38,8.57,72.7,94,92,5.91,light rain
457,Yulara,AU,-25.24,130.99,51.64,58,75,4.61,broken clouds
458,Taoudenni,ML,22.68,-3.98,106.63,7,15,3.47,few clouds
459,Shenjiamen,CN,29.96,122.30,80.04,89,28,11.18,light rain
460,Jacareacanga,BR,-6.22,-57.75,83.16,40,9,2.06,clear sky
461,Mountain Home,US,43.13,-115.69,92.93,30,90,17.27,light rain
462,Comodoro Rivadavia,AR,-45.87,-67.50,60.66,48,75,10.36,broken clouds
463,Auray,FR,47.67,-2.99,76.89,73,4,10.63,clear sky
464,Bhatkal,IN,13.97,74.57,78.12,85,81,11.83,broken clouds
465,Kilifi,KE,-3.63,39.85,75.15,83,56,14.88,broken clouds
466,Portland,US,45.52,-122.68,89.56,34,20,3.0,few clouds
467,Xining,CN,36.62,101.77,55.58,81,26,2.42,scattered clouds
468,Turukhansk,RU,65.82,87.98,46.31,79,3,6.87,clear sky
469,Kavieng,PG,-2.57,150.80,81.86,77,100,10.09,light rain
470,Laguna,US,38.42,-121.42,103.44,23,1,4.0,clear sky
471,Agirish,RU,61.92,63.02,59.04,75,11,5.84,few clouds
472,Babanka,UA,48.71,30.45,69.26,86,54,5.01,broken clouds
473,Okhotsk,RU,59.38,143.30,61.25,78,19,4.94,few clouds
474,Marsh Harbour,BS,26.54,-77.06,83.39,72,7,12.66,clear sky
475,Coruripe,BR,-10.13,-36.18,74.59,85,9,9.8,clear sky
476,Waipawa,NZ,-41.41,175.52,47.03,87,30,2.44,scattered clouds
477,Tomatlan,MX,19.93,-105.25,88.34,63,52,7.76,broken clouds
478,Haines Junction,CA,60.75,-137.51,71.55,46,40,4.61,scattered clouds
479,Maumere,ID,-8.62,122.21,75.43,77,12,2.75,few clouds
480,Piacabucu,BR,-10.41,-36.43,74.64,86,4,8.68,clear sky
481,Kilindoni,TZ,-7.91,39.67,76.91,77,4,18.52,clear sky
482,Lazaro Cardenas,MX,17.96,-102.20,86.94,66,31,9.51,scattered clouds
483,Fort Walton Beach,US,30.41,-86.62,88.99,75,1,8.01,clear sky
484,Sisophon,KH,13.59,102.97,76.73,84,100,6.31,overcast clouds
485,Hoquiam,US,46.98,-123.89,89.06,54,1,16.11,clear sky
486,Nanortalik,GL,60.14,-45.24,43.32,96,100,11.54,overcast clouds
487,Naberera,TZ,-4.20,36.93,56.93,84,79,11.05,broken clouds
488,Ko Samui,TH,9.54,99.94,83.19,75,99,19.77,light rain
489,Hamilton,US,39.18,-84.53,85.77,57,1,1.01,clear sky
490,Keratea,GR,37.81,23.98,79.48,73,0,5.75,clear sky
491,Miraflores,MX,19.22,-98.81,77.04,60,65,1.86,broken clouds
492,Bolobo,CD,-2.17,16.23,75.94,45,38,3.44,scattered clouds
493,Saint Pete Beach,US,27.73,-82.74,91.15,62,1,3.0,clear sky
494,Heinola,FI,61.21,26.04,59.09,66,52,7.36,broken clouds
495,Smoky Lake,CA,54.12,-112.47,68.58,77,90,4.61,overcast clouds
496,Galle,LK,6.04,80.22,80.47,82,100,14.94,overcast clouds
497,Jizan,SA,17.33,42.67,90.54,66,100,8.37,overcast clouds
498,Srednekolymsk,RU,67.45,153.68,64.31,38,100,13.0,overcast clouds
499,Milton,US,34.13,-84.30,82.26,83,100,1.99,overcast clouds
500,Wuwei,CN,37.93,102.64,71.87,36,14,3.49,few clouds
501,Port Macquarie,AU,-31.43,152.92,41.9,67,1,7.94,clear sky
502,Oranjestad,AW,12.52,-70.03,85.95,70,40,25.32,scattered clouds
503,Quarai,BR,-30.39,-56.45,44.46,71,0,3.4,clear sky
504,Buchanan,LR,5.88,-10.05,76.96,85,91,10.71,light rain
505,Harper,LR,4.38,-7.72,76.5,75,94,11.34,overcast clouds
506,Buenaventura,CO,3.88,-77.03,75.9,80,41,4.99,scattered clouds
507,Dumai,ID,1.68,101.45,72.84,92,96,2.89,overcast clouds
508,Halifax,CA,44.65,-63.57,75.52,90,90,3.0,overcast clouds
509,Tipuani,BO,-15.56,-68.02,67.14,81,97,0.49,overcast clouds
510,Roald,NO,62.58,6.13,57.0,87,90,19.57,overcast clouds
511,Talaya,RU,61.38,152.75,57.15,58,71,3.06,broken clouds
512,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,79.29,81,75,0.96,light rain
513,Huanren,CN,41.26,125.37,73.02,89,64,2.13,broken clouds
514,Pedernales,DO,18.04,-71.74,88.23,58,71,14.09,broken clouds
515,Abnub,EG,27.27,31.15,91.62,18,0,12.33,clear sky
516,Evensk,RU,61.95,159.23,61.57,59,100,4.34,overcast clouds
517,Havoysund,NO,71.00,24.66,43.68,70,97,29.26,overcast clouds
518,Nehe,CN,48.48,124.83,71.02,94,100,5.23,overcast clouds
519,Lar,IN,26.20,83.97,83.25,82,100,8.77,moderate rain
520,Buala,SB,-8.14,159.59,81.73,76,68,5.57,broken clouds
521,Sinnamary,GF,5.38,-52.95,77.05,87,100,7.02,overcast clouds
522,Bantacan,PH,7.60,126.13,76.62,86,91,1.86,overcast clouds
523,Canon City,US,38.44,-105.24,93.0,23,1,7.0,clear sky
524,Port-Cartier,CA,50.03,-66.87,66.42,93,97,5.79,overcast clouds
525,Paamiut,GL,61.99,-49.67,43.84,80,12,3.38,few clouds
526,Peniche,PT,39.36,-9.38,65.88,83,99,17.22,overcast clouds
527,Dauphin,CA,51.15,-100.05,68.14,77,90,8.05,overcast clouds
528,Mala,PE,-12.66,-76.63,66.29,75,57,7.34,broken clouds
529,Myaundzha,RU,63.05,147.19,64.13,39,68,5.01,broken clouds
530,Ahipara,NZ,-35.17,173.17,58.3,68,51,6.55,broken clouds
531,Khasan,RU,42.43,130.64,74.62,94,67,2.62,broken clouds
532,Opuwo,NA,-18.06,13.84,60.98,35,1,8.86,clear sky
533,Inuvik,CA,68.35,-133.72,76.21,67,20,6.91,few clouds
534,Dali,CN,25.70,100.18,61.93,81,0,1.77,clear sky
535,Przhevalskoye,RU,55.51,31.85,65.3,64,97,5.32,overcast clouds
536,Dicabisagan,PH,17.08,122.42,78.73,89,96,3.2,overcast clouds
537,Wanaka,NZ,-44.70,169.15,41.11,99,67,1.01,broken clouds
538,Strelka,RU,58.07,93.03,57.0,85,100,0.45,overcast clouds
539,Kieta,PG,-6.22,155.63,80.17,84,99,5.97,overcast clouds
540,Santo Antonio Do Sudoeste,BR,-26.07,-53.73,43.25,74,32,4.25,scattered clouds
541,Fort Nelson,CA,58.81,-122.70,72.99,46,75,8.05,broken clouds
542,Mazatan,MX,14.87,-92.45,86.0,70,94,4.92,overcast clouds
543,General Pico,AR,-35.66,-63.76,48.52,41,11,8.01,few clouds
544,Igarka,RU,67.47,86.58,45.97,76,31,6.26,scattered clouds
545,Pizarro,CO,4.95,-77.37,81.46,78,14,8.14,few clouds
546,San Rafael,AR,-34.62,-68.33,55.35,21,1,11.3,clear sky
547,La Ronge,CA,55.10,-105.28,64.62,63,75,8.05,smoke
548,Los Banos,PH,14.17,121.18,77.81,95,99,4.03,light rain
549,Cururupu,BR,-1.83,-44.87,75.02,90,35,3.36,scattered clouds
550,Sungaipenuh,ID,-2.08,101.38,61.34,93,100,2.06,light rain
551,Mizdah,LY,31.45,12.98,73.44,50,0,4.52,clear sky
552,Kerrobert,CA,51.92,-109.13,70.0,39,8,11.43,clear sky
553,Narsaq,GL,60.92,-46.05,50.22,96,98,4.16,overcast clouds
554,Lyubar,UA,49.92,27.76,64.99,95,73,7.2,broken clouds
555,Kirakira,SB,-10.45,161.92,82.83,68,100,8.88,overcast clouds
556,Williamsburg,US,37.27,-76.71,83.79,71,40,9.22,scattered clouds
557,Tarifa,ES,36.01,-5.61,76.95,86,0,9.51,clear sky
558,Pasighat,IN,28.07,95.33,77.43,96,90,2.44,overcast clouds
559,Yerbogachen,RU,61.28,108.01,60.84,66,22,2.98,few clouds
560,Tombouctou,ML,20.00,-3.00,101.86,11,16,7.87,few clouds
561,Megion,RU,61.03,76.11,60.82,95,100,6.64,light rain
562,Tura,IN,25.52,90.22,73.8,98,100,3.98,overcast clouds
563,Baturaja,ID,-4.13,104.17,71.87,99,49,2.15,scattered clouds
564,Santa Maria,BR,-29.68,-53.81,51.1,66,0,3.44,clear sky
565,Ilheus,BR,-14.79,-39.05,76.82,83,20,9.22,few clouds
566,De Pere,US,44.45,-88.06,84.42,58,1,4.0,clear sky
567,Makakilo City,US,21.35,-158.09,86.32,60,75,11.5,broken clouds
568,Karasjok,NO,69.47,25.51,46.51,78,100,16.15,overcast clouds
569,Sao Felix Do Xingu,BR,-6.64,-51.99,82.04,35,1,2.37,clear sky
570,Kyra,RU,49.58,111.98,63.93,95,73,4.14,heavy intensity rain
571,Saint Anthony,US,45.02,-93.22,91.18,39,40,1.01,scattered clouds
572,Ekangala,ZA,-25.70,28.75,47.3,22,0,3.24,clear sky
573,Misratah,LY,32.38,15.09,78.22,68,0,9.46,clear sky
574,Nyirbogdany,HU,48.06,21.88,69.82,87,91,9.31,overcast clouds
575,Noumea,NC,-22.28,166.46,72.0,99,70,4.63,broken clouds
576,Lufilufi,WS,-13.87,-171.60,85.78,73,56,19.75,broken clouds
577,Cap Malheureux,MU,-19.98,57.61,72.09,67,18,5.99,few clouds
578,Talcahuano,CL,-36.72,-73.12,58.68,58,0,8.05,clear sky
579,College,US,64.86,-147.80,78.58,40,40,3.44,scattered clouds
580,Shingu,JP,33.73,135.98,76.91,82,48,3.49,scattered clouds
581,Marawi,PH,8.00,124.29,66.65,82,92,4.0,overcast clouds
582,Helong,CN,42.54,129.00,72.52,94,75,2.68,broken clouds
583,Geraldton,AU,-28.77,114.60,57.61,88,90,13.8,shower rain
584,Christchurch,NZ,-43.53,172.63,42.01,95,7,2.3,clear sky
585,Yarmouth,US,41.71,-70.23,75.54,88,90,8.99,overcast clouds
586,Cuiluan,CN,47.72,128.65,74.03,92,7,1.79,clear sky
587,Nyrob,RU,60.73,56.72,59.95,80,79,4.45,broken clouds
588,Barstow,US,34.90,-117.02,103.3,18,5,4.99,clear sky
589,Bandarbeyla,SO,9.49,50.81,77.54,77,93,28.95,overcast clouds
590,Koumac,NC,-20.57,164.28,71.15,79,99,2.33,overcast clouds
591,Sur,OM,22.57,59.53,88.66,62,17,15.08,few clouds
592,Namibe,AO,-15.20,12.15,68.02,81,97,5.75,overcast clouds
593,Barra Dos Coqueiros,BR,-10.91,-37.04,77.02,83,20,8.05,few clouds
594,Koungheul,SN,13.98,-14.80,85.8,62,70,14.45,broken clouds
595,Oistins,BB,13.07,-59.53,84.29,70,20,23.02,few clouds
596,Port Augusta,AU,-32.50,137.77,50.14,78,100,4.68,overcast clouds
597,Port Blair,IN,11.67,92.75,81.0,85,100,19.19,overcast clouds
598,Carndonagh,IE,55.25,-7.27,54.81,95,0,2.66,clear sky
599,Gurupa,BR,-1.41,-51.64,80.94,69,50,1.9,scattered clouds
600,Bondo,CD,3.81,23.69,69.19,92,99,1.41,overcast clouds
601,Brae,GB,60.40,-1.35,53.51,96,99,11.3,overcast clouds
602,Deputatskiy,RU,69.30,139.90,58.17,81,100,5.55,overcast clouds
603,Santa Maria Ixhuatan,GT,14.19,-90.27,81.41,64,93,3.87,overcast clouds
604,Uruzgan,AF,32.83,66.00,77.02,21,0,6.29,clear sky
605,Biltine,TD,14.53,20.92,81.5,57,98,9.78,overcast clouds
606,Humberto De Campos,BR,-2.60,-43.46,76.35,86,20,5.57,few clouds
607,Narodychi,UA,51.20,29.08,64.74,92,96,6.44,overcast clouds
608,Fairbanks,US,64.84,-147.72,81.1,38,1,3.0,clear sky
609,Abalak,RU,58.13,68.59,55.53,98,35,4.32,scattered clouds
610,Severnoye,RU,56.35,78.36,54.36,90,82,1.52,broken clouds
611,Najran,SA,17.49,44.13,83.05,62,100,7.23,overcast clouds
612,Ballina,AU,-28.87,153.57,53.78,93,0,0.0,clear sky
613,Paragominas,BR,-2.97,-47.48,77.65,77,80,2.73,broken clouds
614,Prieska,ZA,-29.66,22.75,50.94,29,53,7.72,broken clouds
615,Vanderhoof,CA,54.02,-124.02,75.88,35,29,4.59,scattered clouds
616,Osakarovka,KZ,50.56,72.57,63.07,62,100,8.48,overcast clouds
617,Pemangkat,ID,1.17,108.97,79.5,83,81,1.16,broken clouds
618,Dunhua,CN,43.37,128.24,71.22,91,83,2.59,broken clouds
619,Ambanja,MG,-13.68,48.45,70.61,80,65,2.26,broken clouds
620,Nargana,PA,9.44,-78.59,82.85,78,75,7.14,broken clouds
621,El Seibo,DO,18.76,-69.04,85.53,71,95,14.05,overcast clouds
622,Alfonsine,IT,44.51,12.06,78.76,72,1,8.75,clear sky
623,Egvekinot,RU,66.32,-179.17,38.32,88,100,9.26,light rain
624,Manzanillo,CU,20.34,-77.12,85.95,70,40,3.49,moderate rain
625,Salta,AR,-24.79,-65.41,55.99,44,0,8.01,clear sky
626,Sfantu Gheorghe,RO,45.87,25.78,71.26,77,99,1.01,overcast clouds
627,El Dovio,CO,4.51,-76.24,79.11,86,29,5.55,scattered clouds
628,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,76.21,81,44,9.42,scattered clouds
629,Naro,IT,37.29,13.79,72.55,56,15,4.47,few clouds
630,Afsin,TR,38.25,36.91,71.44,49,0,2.44,clear sky
631,Lago Da Pedra,BR,-4.33,-45.17,80.4,65,64,1.83,broken clouds
632,San Quintin,MX,30.48,-115.95,76.78,64,1,13.82,clear sky
633,Palmer,US,42.16,-72.33,76.62,78,90,4.61,overcast clouds
634,Tessalit,ML,20.20,1.01,100.51,11,100,10.74,overcast clouds
635,Qena,EG,26.16,32.72,95.11,15,8,13.91,clear sky
636,Shelburne,CA,44.08,-80.20,81.55,42,4,9.04,clear sky
637,Morales,CO,2.76,-76.62,70.56,57,35,5.93,scattered clouds
638,Toledo,ES,39.83,-4.00,87.12,24,6,8.9,clear sky
639,Bandundu,CD,-3.32,17.37,77.38,30,59,1.79,broken clouds
640,Lavrentiya,RU,65.58,-171.00,45.41,98,100,4.61,moderate rain
641,Candolim,IN,15.52,73.76,79.41,83,100,15.5,overcast clouds
642,San Juan,AR,-31.54,-68.54,55.94,22,0,7.25,clear sky
643,Vangaindrano,MG,-23.35,47.60,67.44,87,97,4.94,light rain
644,Nouakchott,MR,18.09,-15.98,78.73,84,4,12.88,clear sky
645,Mount Pleasant,US,32.79,-79.86,84.2,80,1,1.01,clear sky
646,Beyneu,KZ,45.32,55.20,89.53,23,10,4.18,clear sky
647,Asfi,MA,32.30,-9.24,68.79,84,0,19.01,clear sky
648,Biella,IT,45.59,8.09,74.25,62,71,5.08,broken clouds
649,Careiro Da Varzea,BR,-3.20,-59.81,90.23,65,90,0.4,overcast clouds
650,Severo-Kurilsk,RU,50.68,156.12,50.7,96,96,8.14,overcast clouds
651,Ahuimanu,US,21.44,-157.84,87.51,63,40,17.27,scattered clouds
652,Karabuk,TR,41.20,32.63,75.29,83,1,1.63,clear sky
653,Tucuman,AR,-26.82,-65.22,59.0,36,49,8.05,scattered clouds
654,Lebanon,US,36.21,-86.29,85.89,73,40,6.91,scattered clouds
655,Police,PL,53.55,14.57,59.23,90,88,6.31,overcast clouds
656,North Bend,US,43.41,-124.22,78.24,70,1,13.8,fog
657,Teguise,ES,29.06,-13.56,70.02,68,20,16.11,few clouds
658,Twante,MM,16.72,95.93,78.93,92,100,10.42,overcast clouds
659,Zhangye,CN,38.93,100.45,73.81,39,42,3.78,scattered clouds
660,Akdagmadeni,TR,39.66,35.88,70.3,35,0,1.05,clear sky
661,Xuddur,SO,4.12,43.89,71.71,64,100,18.86,overcast clouds
662,Point Pleasant,US,40.08,-74.07,88.09,71,75,1.99,broken clouds
663,Manosque,FR,43.83,5.79,73.76,75,98,4.5,overcast clouds
664,Los Zacatones,MX,22.95,-102.05,75.65,29,7,14.2,clear sky
665,Verkhoyansk,RU,67.54,133.38,69.48,60,85,9.08,overcast clouds
666,Harindanga,IN,22.04,88.32,82.38,80,100,7.4,overcast clouds
667,Lancaster,US,40.25,-76.25,86.47,68,40,9.22,thunderstorm
668,Khandbari,NP,27.37,87.20,72.54,96,100,0.34,overcast clouds
669,Sefton,NZ,-43.25,172.67,42.06,96,6,4.23,clear sky
670,Chabahar,IR,25.29,60.64,86.34,84,45,11.99,scattered clouds
671,Kuytun,RU,54.34,101.50,53.76,92,3,5.39,clear sky
672,Elliot,ZA,-31.33,27.85,42.76,25,0,7.31,clear sky
673,Nova Russas,BR,-4.71,-40.56,85.23,41,86,3.02,overcast clouds
674,Kaberamaido,UG,1.74,33.16,66.94,85,94,3.24,light rain
675,Kalemie,CD,-5.95,29.19,68.59,61,0,3.44,clear sky
676,Saint Simons,US,31.14,-81.39,81.0,89,90,10.36,overcast clouds
677,Energetik,RU,51.74,58.79,69.57,57,50,2.86,scattered clouds
678,Dhidhdhoo,MV,6.88,73.10,82.63,74,78,13.29,broken clouds
679,Otradnoye,RU,59.78,30.82,60.85,81,1,5.23,clear sky
680,Raubling,DE,47.79,12.11,63.05,94,7,2.95,clear sky
681,Orocue,CO,4.79,-71.34,72.0,96,100,3.8,overcast clouds
682,Bonthe,SL,7.53,-12.51,77.52,87,100,6.96,light rain
683,Kamaishi,JP,39.27,141.88,78.89,75,100,0.98,overcast clouds
684,Maniitsoq,GL,65.42,-52.90,42.28,92,100,20.89,light rain
685,Bosaso,SO,11.28,49.18,91.44,38,95,28.92,overcast clouds
686,Chenghai,CN,23.46,116.77,78.71,100,40,2.24,scattered clouds
687,Hastings,GB,50.86,0.57,68.92,94,1,9.33,clear sky
688,Bartica,GY,6.40,-58.62,79.12,96,66,3.91,light rain
689,Vila,PT,42.03,-8.16,69.75,83,0,1.34,clear sky
690,Axim,GH,4.87,-2.24,75.94,84,19,10.83,few clouds
691,Boguchany,RU,58.38,97.45,57.04,96,62,2.19,broken clouds
692,Korla,CN,41.76,86.15,76.12,39,99,4.56,overcast clouds
693,Zhezkazgan,KZ,47.80,67.71,74.97,50,100,3.0,overcast clouds
694,Gabu,GW,12.28,-14.22,80.17,79,75,8.32,broken clouds
695,Payson,US,40.04,-111.73,98.35,43,1,5.75,clear sky
696,Te Anau,NZ,-45.42,167.72,38.73,89,98,1.39,overcast clouds
697,Manokwari,ID,-0.87,134.08,77.4,82,89,3.04,overcast clouds
698,Fasa,IR,28.94,53.65,83.44,51,90,4.61,overcast clouds
699,Sapouy,BF,11.55,-1.77,79.88,68,100,7.92,light rain
700,Latisana,IT,45.78,13.00,77.02,71,61,2.93,broken clouds
701,Kavaratti,IN,10.57,72.64,82.04,76,85,18.25,overcast clouds
702,Fuling,CN,29.70,107.39,73.94,91,93,2.13,overcast clouds
703,Alamosa,US,37.47,-105.87,86.67,28,90,4.61,overcast clouds
704,Bogorodskoye,RU,56.55,37.88,69.78,88,100,3.74,overcast clouds
705,Sarakhs,IR,36.54,61.16,80.74,21,0,4.61,clear sky
706,Wajir,KE,1.75,40.06,76.66,53,96,17.76,overcast clouds
707,Itoman,JP,26.12,127.67,78.82,91,75,21.85,light rain
708,Matara,LK,5.95,80.54,79.39,83,99,13.4,overcast clouds
709,The Valley,AI,18.22,-63.06,86.14,70,20,16.11,haze
710,Kuala Terengganu,MY,5.33,103.14,80.55,94,20,3.44,few clouds
711,Hirara,JP,24.80,125.28,82.67,89,40,12.66,scattered clouds
712,Pau,FR,43.42,-0.58,70.81,88,0,0.0,clear sky
713,Sorrento,IT,40.63,14.37,75.33,78,0,9.22,clear sky
714,Polovinnoye,RU,54.79,65.99,57.9,90,24,0.25,few clouds
